filename,filing_label,form,filing_date,document_lines,matched_unique_lines,cnt_revenue_profitability,cnt_segment_mix,cnt_cost_and_cash,cnt_strategy_execution,cnt_competition,cnt_risk_factors
10-Q_2011-11-04.html,Quarterly (10-Q filed 2011-11-04),10-Q,2011-11-04,5798,2466,1002,596,1129,127,310,421
10-K_2012-02-23.html,FY2011 Annual (10-K filed 2012-02-23),10-K,2012-02-23,10148,3125,1063,771,1379,218,398,683
10-Q_2012-05-04.html,Quarterly (10-Q filed 2012-05-04),10-Q,2012-05-04,3347,1218,485,310,609,34,88,199
10-Q_2012-08-01.html,Quarterly (10-Q filed 2012-08-01),10-Q,2012-08-01,4130,1642,652,430,764,87,102,252
10-Q_2012-10-31.html,Quarterly (10-Q filed 2012-10-31),10-Q,2012-10-31,4177,1641,654,415,764,79,91,260
10-K_2013-02-19.html,FY2012 Annual (10-K filed 2013-02-19),10-K,2013-02-19,9782,3192,1056,784,1369,299,396,700
10-Q_2013-04-29.html,Quarterly (10-Q filed 2013-04-29),10-Q,2013-04-29,3738,1235,447,265,612,30,77,204
10-Q_2013-07-29.html,Quarterly (10-Q filed 2013-07-29),10-Q,2013-07-29,4785,1555,600,373,707,21,94,225
10-Q_2013-10-28.html,Quarterly (10-Q filed 2013-10-28),10-Q,2013-10-28,5048,1768,598,395,929,53,127,240
10-K_2014-02-14.html,FY2013 Annual (10-K filed 2014-02-14),10-K,2014-02-14,10432,3137,1048,717,1471,223,337,639
10-Q_2014-04-25.html,Quarterly (10-Q filed 2014-04-25),10-Q,2014-04-25,4030,1461,443,350,800,27,132,218
10-Q_2014-07-25.html,Quarterly (10-Q filed 2014-07-25),10-Q,2014-07-25,5362,2034,828,563,975,18,117,244
10-Q_2014-10-29.html,Quarterly (10-Q filed 2014-10-29),10-Q,2014-10-29,5973,2189,904,635,1009,22,113,269
10-K_2015-02-13.html,FY2014 Annual (10-K filed 2015-02-13),10-K,2015-02-13,10990,3697,1494,977,1518,204,321,657
10-Q_2015-04-27.html,Quarterly (10-Q filed 2015-04-27),10-Q,2015-04-27,4310,1670,615,397,831,36,92,222
10-Q_2015-07-27.html,Quarterly (10-Q filed 2015-07-27),10-Q,2015-07-27,6001,2448,948,647,1165,36,86,251
10-Q_2015-10-28.html,Quarterly (10-Q filed 2015-10-28),10-Q,2015-10-28,6309,2565,964,652,1211,27,84,318
10-K_2016-02-12.html,FY2015 Annual (10-K filed 2016-02-12),10-K,2016-02-12,11905,4231,1646,1134,1726,257,285,777
10-Q_2016-05-02.html,Quarterly (10-Q filed 2016-05-02),10-Q,2016-05-02,4814,1981,849,613,769,42,67,272
10-Q_2016-08-01.html,Quarterly (10-Q filed 2016-08-01),10-Q,2016-08-01,6663,2995,1451,952,1165,18,85,293
10-Q_2016-10-31.html,Quarterly (10-Q filed 2016-10-31),10-Q,2016-10-31,6646,2988,1417,880,1152,9,64,291
10-K_2017-02-17.html,FY2016 Annual (10-K filed 2017-02-17),10-K,2017-02-17,10738,3646,1429,1181,1418,239,285,590
10-Q_2017-04-27.html,Quarterly (10-Q filed 2017-04-27),10-Q,2017-04-27,3663,1464,680,418,624,14,35,152
10-Q_2017-07-27.html,Quarterly (10-Q filed 2017-07-27),10-Q,2017-07-27,4993,1854,885,496,757,9,44,185
10-Q_2017-10-26.html,Quarterly (10-Q filed 2017-10-26),10-Q,2017-10-26,5126,1955,957,570,787,20,44,163
10-K_2018-02-16.html,FY2017 Annual (10-K filed 2018-02-16),10-K,2018-02-16,9123,3443,1345,1120,1367,275,345,557
10-Q_2018-04-27.html,Quarterly (10-Q filed 2018-04-27),10-Q,2018-04-27,3835,1539,850,415,596,15,49,159
10-Q_2018-07-27.html,Quarterly (10-Q filed 2018-07-27),10-Q,2018-07-27,4812,1917,1102,513,660,18,56,198
10-Q_2018-10-26.html,Quarterly (10-Q filed 2018-10-26),10-Q,2018-10-26,4891,1965,1120,539,689,27,42,173
10-K_2019-02-01.html,FY2018 Annual (10-K filed 2019-02-01),10-K,2019-02-01,9774,3871,1723,1285,1328,479,386,667
10-Q_2019-04-26.html,Quarterly (10-Q filed 2019-04-26),10-Q,2019-04-26,4719,1404,704,549,371,9,60,198
10-Q_2019-07-26.html,Quarterly (10-Q filed 2019-07-26),10-Q,2019-07-26,6220,2008,1012,733,501,28,84,265
10-Q_2019-10-25.html,Quarterly (10-Q filed 2019-10-25),10-Q,2019-10-25,6261,2042,1046,772,512,9,33,176
10-K_2020-01-24.html,FY2019 Annual (10-K filed 2020-01-24),10-K,2020-01-24,12915,4327,1734,1742,1255,527,487,655
10-Q_2020-04-24.html,Quarterly (10-Q filed 2020-04-24),10-Q,2020-04-24,5666,1723,783,647,550,36,97,250
10-Q_2020-07-24.html,Quarterly (10-Q filed 2020-07-24),10-Q,2020-07-24,6050,1720,755,664,498,50,33,183
10-Q_2020-10-23.html,Quarterly (10-Q filed 2020-10-23),10-Q,2020-10-23,6196,1743,778,678,498,27,34,221
10-K_2021-01-22.html,FY2020 Annual (10-K filed 2021-01-22),10-K,2021-01-22,11043,3843,1469,1577,1140,636,389,733
10-Q_2021-04-23.html,Quarterly (10-Q filed 2021-04-23),10-Q,2021-04-23,4472,1438,676,549,459,45,34,265
10-Q_2021-07-23.html,Quarterly (10-Q filed 2021-07-23),10-Q,2021-07-23,5419,1780,818,700,516,45,66,214
10-Q_2021-10-22.html,Quarterly (10-Q filed 2021-10-22),10-Q,2021-10-22,6056,1823,841,719,544,66,61,265
10-K_2022-01-27.html,FY2021 Annual (10-K filed 2022-01-27),10-K,2022-01-27,10303,3524,1342,1513,1103,720,423,737
10-Q_2022-04-29.html,Quarterly (10-Q filed 2022-04-29),10-Q,2022-04-29,4175,1569,692,655,520,93,49,303
10-Q_2022-07-29.html,Quarterly (10-Q filed 2022-07-29),10-Q,2022-07-29,5187,1940,790,949,586,98,59,275
10-Q_2022-10-28.html,Quarterly (10-Q filed 2022-10-28),10-Q,2022-10-28,5232,1985,858,944,596,117,67,283
10-K_2023-01-27.html,FY2022 Annual (10-K filed 2023-01-27),10-K,2023-01-27,10632,3952,1415,1747,1261,826,420,847
10-Q_2023-04-28.html,Quarterly (10-Q filed 2023-04-28),10-Q,2023-04-28,4366,1558,646,628,521,146,59,254
10-Q_2023-07-28.html,Quarterly (10-Q filed 2023-07-28),10-Q,2023-07-28,5527,2001,821,903,632,150,48,248
10-Q_2023-10-27.html,Quarterly (10-Q filed 2023-10-27),10-Q,2023-10-27,5508,2015,811,885,640,143,69,255
10-K_2024-01-26.html,FY2023 Annual (10-K filed 2024-01-26),10-K,2024-01-26,10534,3872,1255,1480,1323,815,484,966
10-Q_2024-04-26.html,Quarterly (10-Q filed 2024-04-26),10-Q,2024-04-26,4417,1775,755,838,602,148,84,276
10-Q_2024-08-02.html,Quarterly (10-Q filed 2024-08-02),10-Q,2024-08-02,5854,2296,949,1130,698,194,110,343
10-Q_2024-11-01.html,Quarterly (10-Q filed 2024-11-01),10-Q,2024-11-01,5964,2507,975,1234,929,216,86,323
10-K_2025-01-31.html,FY2024 Annual (10-K filed 2025-01-31),10-K,2025-01-31,11086,4200,1225,1729,1666,703,536,937
10-Q_2025-04-25.html,Quarterly (10-Q filed 2025-04-25),10-Q,2025-04-25,4578,1719,602,804,654,117,66,258
10-Q_2025-07-24.html,Quarterly (10-Q filed 2025-07-24),10-Q,2025-07-24,5875,2241,754,1107,812,131,103,306
10-Q_2025-11-06.html,Quarterly (10-Q filed 2025-11-06),10-Q,2025-11-06,6556,2484,737,1190,906,91,107,358
10-K_2026-01-23.html,FY2025 Annual (10-K filed 2026-01-23),10-K,2026-01-23,11122,4179,1158,1936,1616,611,519,882
10-Q_2026-04-24.html,Quarterly (10-Q filed 2026-04-24),10-Q,2026-04-24,4907,1831,614,892,691,134,108,307
